Date,Qobs,P,Epot,Temp
01-01-88,25.10,0.000,1.86,13.2
02-01-88,24.20,0.000,1.85,12.5
03-01-88,24.20,0.000,1.81,12.1
04-01-88,24.20,0.000,1.78,11.6
05-01-88,23.90,0.000,1.75,12.6
06-01-88,23.30,0.000,1.75,11.6
07-01-88,23.30,0.000,1.70,10.9
08-01-88,23.30,0.000,1.72,11.0
09-01-88,22.40,0.000,1.68,10.3
10-01-88,21.50,0.000,1.71,11.3
11-01-88,22.10,0.000,1.81,12.4
12-01-88,22.10,0.000,1.69,11.5
13-01-88,21.50,0.000,1.76,12.0
14-01-88,20.60,0.138,1.73,11.4
15-01-88,22.10,0.000,1.71,10.2
16-01-88,21.50,0.000,1.61,9.7
17-01-88,20.60,0.000,1.71,10.2
18-01-88,20.60,0.000,1.69,10.7
19-01-88,20.60,0.000,1.73,11.2
20-01-88,19.70,0.000,1.73,11.3
21-01-88,19.70,0.000,1.79,11.0
22-01-88,19.10,0.000,1.89,12.3
23-01-88,18.80,0.000,1.83,11.0
24-01-88,18.80,0.000,1.85,11.1
25-01-88,17.90,0.000,1.79,10.3
26-01-88,17.60,0.000,1.80,10.1
27-01-88,17.00,0.000,1.76,9.8
28-01-88,17.00,0.000,1.71,9.2
29-01-88,17.00,0.000,1.70,9.7
30-01-88,16.50,0.000,1.82,10.4
31-01-88,16.50,0.000,1.92,11.3
01-02-88,16.50,0.000,1.99,12.1
02-02-88,16.50,0.000,2.09,14.4
03-02-88,16.00,0.000,2.12,14.0
04-02-88,16.00,0.000,2.23,14.1
05-02-88,16.00,0.000,2.15,13.0
06-02-88,15.70,0.000,2.09,12.9
07-02-88,15.50,0.000,2.18,13.6
08-02-88,15.50,0.000,2.25,14.4
09-02-88,15.50,0.000,2.23,13.6
10-02-88,15.00,0.000,2.25,13.3
11-02-88,14.50,0.000,2.28,13.5
12-02-88,14.50,0.000,2.31,13.6
13-02-88,14.50,0.000,2.40,15.0
14-02-88,14.50,0.069,2.42,14.4
15-02-88,14.00,0.579,2.27,13.1
16-02-88,14.00,0.000,2.23,11.8
17-02-88,14.00,0.000,2.28,12.0
18-02-88,13.80,0.000,2.42,13.0
19-02-88,13.50,0.000,2.41,13.0
